Date,Time_hms,Year,DOY,TOD,Dolphin,Humpback,Minke ,Noise,Sampling_method,SST,SSS,Chl_0,Chl_15,Wind_speed,Tide_level
15/07/2021,00:29:00,2021,196,0029,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,NA
15/07/2021,00:59:00,2021,196,0059,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,0.56
15/07/2021,01:29:00,2021,196,0129,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,0.6
15/07/2021,01:59:00,2021,196,0159,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,1.36
15/07/2021,02:29:00,2021,196,0229,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,NA
15/07/2021,02:59:00,2021,196,0259,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,NA
15/07/2021,03:29:00,2021,196,0329,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,1.07
15/07/2021,03:59:00,2021,196,0359,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,0.56
03/06/2022,03:59:00,2022,154,0360,0,0,0,0,Duty cycle,23.8,34.45,0.036,0.041,4.63,1.14
04/06/2022,03:59:00,2022,155,0361,0,0,1,1,Duty cycle,23.88,34.45,0.036,0.041,7.46,1.09
05/06/2022,03:59:00,2022,156,0362,0,0,1,1,Duty cycle,23.96,33.86,0.036,0.041,3.2,1.25
06/06/2022,03:59:00,2022,157,0363,0,0,0,0,Duty cycle,23.9,33.86,0.036,0.041,6.97,1.6
08/06/2022,03:59:00,2022,159,0364,0,0,1,1,Duty cycle,23.77,33.96,0.036,0.043,11.06,1
09/06/2022,03:59:00,2022,160,0365,0,0,0,1,Duty cycle,23.18,33.96,0.036,0.043,6.08,0.89
10/06/2022,03:59:00,2022,161,0366,0,0,0,1,Duty cycle,23.07,33.96,0.036,0.043,7.37,0.75
11/06/2022,03:59:00,2022,162,0367,0,1,0,1,Duty cycle,22.98,33.96,0.036,0.043,8.41,NA
25/06/2022,03:59:00,2022,176,0368,0,1,0,0,Duty cycle,22.98,35.59,0.032,0.036,6.59,1.62
15/07/2021,04:29:00,2021,196,0429,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,NA
15/07/2021,04:59:00,2021,196,0459,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,NA
15/07/2021,05:29:00,2021,196,0529,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,NA
15/07/2021,05:59:00,2021,196,0559,0,1,0,0,Duty cycle,23.17,34.29,0.022,0.024,6.9,1.2
29/06/2021,09:59:00,2021,180,0959,0,1,0,1,Duty cycle,23.41,36.01,0.027,0.028,10.75,0.57
19/02/2021,10:00:00,2021,50,1000,0,0,0,0,Duty cycle,27.26,35.3,0.038,0.044,5.41,0.9
01/05/2021,10:00:00,2021,121,1000,1,0,0,1,Duty cycle,25.08,34.34,0.047,0.033,8.85,0.72
02/05/2021,10:00:00,2021,122,1000,1,0,0,1,Duty cycle,25.22,34.34,0.047,0.033,10.44,1.23
03/05/2021,10:00:00,2021,123,1000,1,0,0,1,Duty cycle,25.07,34.1,0.047,0.033,8.36,1.47
04/05/2021,10:00:00,2021,124,1000,1,0,0,1,Duty cycle,26.71,34.1,0.047,0.033,5.3,1.24
05/05/2021,10:00:00,2021,125,1000,1,0,0,1,Duty cycle,24.95,34.1,0.043,0.043,9.45,1.09
